Btl_Cnt,Depthm,T_degC,Salnty,O2ml_L,STheta
776933,50,11.67,33.533,3.95,25.513
378257,76,9.22,33.356,4.76,25.798
415084,500,5.37,34.19,,26.995
26727,1000,3.99,34.551,0.73,27.438
576892,125,9.1,33.914,2.92,26.254
474872,10,16.77,35.67,,26.085
186359,800,4.49,34.504,,27.346
190626,48,11.66,33.55,5.56,25.528
645938,32,12.86,33.271,6.38,25.083
852689,10,19.183,32.9999,5.457,23.44896
709168,139,12.6,33.386,5.14,25.225
78244,99,9.89,,5.42,
426250,75,10.2,33.707,2.65,25.91
109688,300,7.93,34.159,1.99,26.628
543660,48,10.92,33.692,3.27,25.773
852202,131,10.503,33.3462,4.864,25.58079
541619,175,10.23,33.973,,26.115
496625,150,9.8,33.759,3.79,26.02
866644,30,15.348,33.3123,5.717,24.59787
890823,201,8.446,34.0583,2.173,26.47378
171771,50,17.82,34.018,,24.567
510292,500,5.77,34.28,,27.018
762527,400,7.18,34.284,0.58,26.835
305062,100,11.26,33.345,4.67,25.443
292451,300,10.83,34.773,0.15,26.636
242589,82,15.71,34,3.97,25.048
857586,169,9.318,33.6318,3.475,26.00238
812622,10,14.13,33.215,5.95,24.782
670365,28,14.76,33.067,5.9,24.535
256266,20,19.8,33.688,5.24,23.816
17760,600,5.23,34.193,0.56,27.015
701081,378,7.5,34.283,0.69,26.789
854724,15,19.184,33.3789,,23.7385
841532,5,15.127,33.5235,5.763,24.80724
160401,100,11.23,33.633,,25.672
48470,400,5.38,34.131,0.88,26.946
793109,500,6.01,34.3,0.34,27
889614,272,7.692,34.2016,1.059,26.70006
690276,40,13.76,33.384,5.64,24.99
680844,438,6.95,34.261,0.66,26.849
676286,84,13.56,33.249,5.54,24.927
886387,380,6.608,34.174,0.723,26.83052
202088,110,18.35,34.99,5.46,25.183
302942,500,7.36,34.533,0.19,27.008
457121,1,11.3,32.76,6.52,24.979
730166,150,9.73,33.927,2.47,26.163
229923,10,15.16,33.53,5.81,24.805
167884,80,12.4,33.83,,25.607
188836,39,11.3,33.49,,25.547
437227,0,15.07,33.46,5.68,24.77
493936,1000,3.85,34.48,,27.396
694722,18,15.04,33.141,,
108115,10,16.78,33.91,5.32,24.731
315377,222,8,33.975,2.78,26.472
781395,512,6.75,34.327,0.34,26.929
4252,20,15.76,33.817,5.27,24.893
670760,20,15.38,33.156,5.83,24.469
409292,125,10.57,34.312,1.39,26.319
